x,p,T
-0.98,301209,496.007
-0.94,299452,495.682
-0.9,298654,495.41
-0.86,298164,495.139
-0.82,297474,494.819
-0.78,296731,494.469
-0.74,295928,494.084
-0.7,295029,493.655
-0.66,294028,493.177
-0.62,292910,492.64
-0.58,291653,492.036
-0.54,290233,491.351
-0.5,288619,490.569
-0.46,286774,489.672
-0.42,284648,488.632
-0.38,282177,487.418
-0.34,279277,485.983
-0.3,275835,484.267
-0.26,271690,482.18
-0.22,266613,479.595
-0.18,260245,476.305
-0.14,251993,471.964
-0.1,240737,465.897
-0.06,224077,456.536
-0.02,196277,438.999
0.02,139824,398.718
0.06,102263,363.657
0.1,82954,342.971
0.14,70674.3,327.517
0.18,61810.6,315.261
0.22,54760.6,304.295
0.26,49166.4,295.408
0.3,44450.6,286.953
0.34,40538.4,279.505
0.38,37079.8,272.144
0.42,34428.3,266.803
0.46,30625.6,258.088
0.5,30751.1,258.377
0.54,91475,405.958
0.58,152843,470.047
0.62,162027,477.68
0.66,163844,479.957
0.7,165820,481.089
0.74,167293,482.109
0.78,168514,483.491
0.82,169885,484.596
0.86,171096,485.423
0.9,171722,486.1
0.94,172597,486.624
0.98,172265,487.885
